time_min,0.0,11.92927500865018,23.927556396495838,36.11121168551206,48.186573876837926,59.99667966868998,72.44467994989233,84.85201791478625,96.97247124165088,106.67189699267672,118.55578197721553,130.54236580614878,142.64215391942056,154.9429455584124,166.97113629995647,179.09711439521573,191.26268243749706,203.55155367746443
0.0,933.850606,663.624157,442.346666,257.309362,134.269179,68.843769,27.126944,19.972423,8.817148,7.311976,5.293689,3.187518,2.546715,2.232711,1.516688,0.571357,1.455536,2.331346
5.0,1800.644631,1332.897451,1105.588363,841.695286,670.860653,377.35705,221.36651,142.054591,82.276708,65.028784,39.21986,37.525836,21.065181,12.169394,3.485296,6.040185,3.55117,1.641668
10.0,2263.742058,979.430783,768.435168,653.361459,627.643047,419.747506,320.860175,249.361727,196.104667,185.383293,153.501007,144.858111,84.712035,44.384268,30.689534,24.641258,9.682128,2.770118
15.0,11358.70118,3369.436174,2276.75509,1321.364018,756.291096,407.7813,292.344531,237.308745,197.138165,211.965896,207.334346,188.672338,136.97135,97.472628,79.102758,40.421287,43.371296,21.541738
20.0,33647.734574,12155.820696,9863.274837,6714.34577,3441.379386,1965.233855,866.235278,429.265081,285.682817,256.593972,191.771507,232.054332,149.448258,125.845178,87.024809,67.801301,72.594903,38.898168
25.0,57773.575296,24301.29969,22798.049171,18716.00469,12278.085872,8392.24866,4423.413693,2608.326088,1692.230041,988.314024,394.323232,282.839409,162.732354,128.499349,75.547823,56.455922,74.728962,50.447374
30.0,71898.958869,33317.717642,34420.349635,31692.276762,24476.557895,20311.724591,12649.051681,8654.745268,6707.93943,4325.213934,2055.378554,1059.04098,427.593861,171.857947,116.988653,78.609209,66.778479,10.29355
35.0,73364.729763,37017.281199,39949.085292,39557.06166,33765.218312,32044.462278,22014.524806,16893.606447,15104.169815,11739.841028,7059.481891,4271.813434,2100.157039,754.270253,240.009224,76.886652,80.265435,58.004287
40.0,66495.589035,34930.674294,40151.411824,40386.069112,36590.045915,39861.274586,28218.111892,23881.527895,23495.54824,20572.881863,14558.568093,11051.833903,6706.048169,3200.359004,1119.408029,312.579132,128.189849,131.136623
45.0,57862.949533,31363.634048,35605.59737,37618.090015,35800.666573,43884.859976,30655.756657,27099.151223,28407.80174,27209.397562,21245.55197,19380.913424,14022.324775,8698.1334,3962.128045,1426.13271,371.594591,65.898302
50.0,48446.151583,27063.314831,31434.429273,33153.869798,31722.108201,44035.788437,29758.285126,27264.624608,29332.36043,29815.661504,25404.563502,25471.53288,21420.525145,15771.01437,9117.263329,4574.308908,1730.165621,296.753536
55.0,40337.894148,21994.536315,26420.355988,27484.534022,27310.891685,42308.3646,27202.765416,25559.562275,27943.914725,29509.813568,26881.593456,27892.407891,26124.723261,22900.349776,15833.39139,9789.923104,4941.766693,1467.115499
60.0,33818.938728,18601.505677,22068.768241,22319.355191,22790.37318,38995.98319,24292.253589,22345.073365,24923.466105,27579.435152,25802.587517,28168.969451,27948.259604,26782.97582,21959.198899,16326.512912,10474.433945,4141.512967
65.0,28817.751474,15279.593294,18023.583665,17601.77716,18800.056193,33973.1994,20152.531165,19301.866409,21621.92839,24635.716019,23648.346682,25939.016186,27678.919665,27919.941343,25797.57407,21010.410073,17184.387497,8183.934811
70.0,24551.909111,12331.120534,15117.685229,14424.950192,16209.212683,29405.795379,17354.490091,16246.044304,18504.378046,21474.660809,20386.308725,22593.687999,24851.753063,27804.344147,27572.661987,23705.150301,23632.309586,13230.743223
75.0,20576.994831,10797.616051,11940.569036,11788.707285,13662.616494,24806.281925,14236.437411,14207.541547,15372.456668,17743.006514,17279.112214,20057.500051,21853.683595,25214.024549,26324.387583,25113.669418,27642.091055,18994.698815
80.0,18267.262654,8693.578705,9793.152153,10152.085183,11475.42907,20819.347799,11989.865844,12104.920408,13087.272341,14930.908514,15024.925834,16675.397568,18582.635704,22682.685461,25456.746315,25089.842247,28633.773521,23670.607534
85.0,15641.179677,8065.421797,9409.109035,7954.761943,9381.230015,17817.367748,10364.491045,10251.324915,10447.312321,13308.779477,12996.895512,14013.094019,16382.605467,19447.621577,22575.813727,23361.991442,30988.703447,27267.750441
90.0,14196.782614,6473.573757,6974.111099,6636.945928,7714.407906,15575.881448,9210.228203,9296.308864,9532.753421,11269.50969,11119.566672,11926.827271,14547.920222,16882.814098,19696.610105,21044.937809,29196.60501,27789.281153
95.0,13374.445597,5723.93248,6281.819945,5635.836809,7258.595678,12590.152034,7841.970734,8629.454761,8268.076762,9790.953977,8863.181364,10339.873327,12708.338322,14153.576481,17927.164815,20350.583715,30136.892421,27131.942968
100.0,12869.409702,4616.294693,5818.817141,5673.663023,6216.776446,10833.871499,6677.652839,8977.884316,7083.550239,8436.464845,8281.172716,8976.042436,10459.06183,12741.855844,14674.473139,17283.728346,30957.708433,29235.115622
105.0,12614.34623,4307.408352,4779.583538,4940.912953,5429.03533,9365.043248,5601.321764,9969.150228,6978.717071,7058.322772,8025.957659,8145.27484,9112.386317,10379.181487,13757.250233,15609.826266,29393.049856,29991.137954
110.0,10572.223908,3872.177667,3918.039516,3286.359861,5099.973647,8474.792178,5448.90137,11558.687147,7596.94487,6822.093223,6045.818141,7225.701785,8173.233464,9104.373478,11995.830575,14655.579,26297.36603,26751.171533
115.0,10554.966442,3841.316233,4766.951162,4589.223109,4443.25209,7753.809587,5189.074067,10944.40825,8275.045309,6694.076051,6276.739078,6167.304939,7879.313827,7949.266631,9980.636982,14535.477781,27591.752392,24846.411179
120.0,9196.172486,2666.218573,3287.310726,2707.045563,4024.887732,6611.931054,4760.973202,12229.583504,9989.086853,6204.114596,5084.009294,5714.754103,7483.726625,7851.382933,10267.296688,13965.774161,25255.299026,24590.638112
125.0,9641.193832,2593.227245,2651.367621,2780.150656,3552.28156,6152.698768,3598.706139,12607.18261,11381.846104,6710.498232,5246.461082,5218.782552,5920.085282,6659.990338,8837.094036,14726.899279,23543.59565,24788.045688
130.0,8429.698745,2331.5882,3335.552017,2172.953663,3217.385404,5248.528082,3243.731752,13387.681356,11333.591613,7807.369949,4284.143682,4311.131936,5108.070664,5761.507532,9001.747706,15443.226774,22656.950061,18073.223051
135.0,7195.135009,2194.757836,2855.144889,1987.825179,2999.203346,3751.128232,3120.04236,14003.755072,12091.03485,8562.629074,5398.937936,3818.709741,4194.625588,4256.245907,5753.221762,16835.943598,24721.008246,21094.150205
140.0,5383.03363,2566.980812,1437.4729,1686.55736,2773.918099,4040.907252,3218.418525,11283.682449,13900.563242,8801.204059,5285.422724,2749.774387,4315.767883,5169.958702,6585.747569,17031.760469,21816.856803,19521.127714
145.0,6026.689078,1544.362897,2185.901838,1145.462608,2368.965681,3137.954558,1258.551112,11126.129798,13089.278054,10683.58318,5722.40647,3705.048906,3758.163916,3979.338231,4853.367212,18058.269684,22498.041721,18368.551044
